Date,10 year guilt yield (%),30 year guilt yield (%),,,,
 Jan-2010,4.06,4.43,,,,
 Feb-2010,4.09,4.53,,,,
 Mar-2010,4.02,4.59,,,,
 Apr-2010,4.06,4.57,,,,
 May-2010,3.71,4.35,,,,
 Jun-2010,3.48,4.26,,,,
 Jul-2010,3.37,4.22,,,,
 Aug-2010,3.08,4.07,,,,
 Sep-2010,3.02,4.02,,,,
 Oct-2010,2.96,4.03,,,,
 Nov-2010,3.19,4.23,,,,
 Dec-2010,3.5,4.34,,,,
 Jan-2011,3.72,4.44,,,,
 Feb-2011,3.86,4.48,,,,
 Mar-2011,3.63,4.34,,,,
 Apr-2011,3.65,4.33,,,,
 May-2011,3.36,4.18,,,,
 Jun-2011,3.24,4.17,,,,
 Jul-2011,3.12,4.16,,,,
 Aug-2011,2.55,3.87,,,,
 Sep-2011,2.48,3.64,,,,
 Oct-2011,2.49,3.43,,,,
 Nov-2011,2.23,3.18,,,,
 Dec-2011,2.12,3.15,,,,
 Jan-2012,2.11,3.07,,,,
 Feb-2012,2.2,3.27,,,,
 Mar-2012,2.25,3.33,,,,
 Apr-2012,2.12,3.31,,,,
 May-2012,1.87,3.16,,,,
 Jun-2012,1.68,3.02,,,,
 Jul-2012,1.55,2.94,,,,
 Aug-2012,1.57,2.97,,,,
 Sep-2012,1.77,3.09,,,,
 Oct-2012,1.8,3.12,,,,
 Nov-2012,1.79,3.07,,,,
 Dec-2012,1.84,3.13,,,,
 Jan-2013,2.05,3.28,,,,
 Feb-2013,2.11,3.37,,,,
 Mar-2013,1.9,3.23,,,,
 Apr-2013,1.7,3.02,,,,
 May-2013,1.86,3.16,,,,
 Jun-2013,2.21,3.46,,,,
 Jul-2013,2.35,3.55,,,,
 Aug-2013,2.58,3.62,,,,
 Sep-2013,2.89,3.66,,,,
 Oct-2013,2.69,3.52,,,,
 Nov-2013,2.74,3.57,,,,
 Dec-2013,2.92,3.64,,,,
 Jan-2014,2.86,3.58,,,,
 Feb-2014,2.74,3.53,,,,
 Mar-2014,2.72,3.5,,,,
 Apr-2014,2.68,3.46,,,,
 May-2014,2.62,3.41,,,,
 Jun-2014,2.7,3.45,,,,
 Jul-2014,2.63,3.36,,,,
 Aug-2014,2.54,3.12,,,,
 Sep-2014,2.49,3.11,,,,
 Oct-2014,2.22,2.94,,,,
 Nov-2014,2.13,2.87,,,,
 Dec-2014,1.87,2.62,,,,
 Jan-2015,1.54,2.25,,,,
 Feb-2015,1.68,2.39,,,,
 Mar-2015,1.68,2.45,,,,
 Apr-2015,1.63,2.37,,,,
 May-2015,1.93,2.61,,,,
 Jun-2015,2.05,2.76,,,,
 Jul-2015,2.01,2.73,,,,
 Aug-2015,1.83,2.51,,,,
 Sep-2015,1.85,2.52,,,,
 Oct-2015,1.81,2.56,,,,
 Nov-2015,1.94,2.64,,,,
 Dec-2015,1.87,2.58,,,,
 Jan-2016,1.73,2.5,,,,
 Feb-2016,1.44,2.31,,,,
 Mar-2016,1.46,2.32,,,,
 Apr-2016,1.48,2.33,,,,
 May-2016,1.43,2.28,,,,
 Jun-2016,1.18,2.02,,,,
 Jul-2016,0.79,1.65,,,,
 Aug-2016,0.59,1.35,,,,
 Sep-2016,0.77,1.45,,,,
 Oct-2016,1.04,1.71,,,,
 Nov-2016,1.34,1.99,,,,
 Dec-2016,1.39,2.03,,,,
 Jan-2017,1.38,2.02,,,,
 Feb-2017,1.25,1.95,,,,
 Mar-2017,1.13,1.84,,,,
 Apr-2017,1.06,1.67,,,,
 May-2017,1.09,1.73,,,,
 Jun-2017,1.04,1.71,,,,
 Jul-2017,1.24,1.87,,,,
 Aug-2017,1.09,1.75,,,,
 Sep-2017,1.21,1.83,,,,
 Oct-2017,1.35,1.91,,,,
 Nov-2017,1.28,1.85,,,,
 Dec-2017,1.22,1.79,,,,
 Jan-2018,1.34,1.84,,,,
 Feb-2018,1.57,1.96,,,,
 Mar-2018,1.45,1.82,,,,
 Apr-2018,1.44,1.83,,,,
 May-2018,1.42,1.84,,,,
 Jun-2018,1.32,1.78,,,,
 Jul-2018,1.27,1.72,,,,
 Aug-2018,1.29,1.75,,,,
 Sep-2018,1.53,1.87,,,,
 Oct-2018,1.56,1.94,,,,
 Nov-2018,1.44,1.95,,,,
 Dec-2018,1.27,1.82,,,,
 Jan-2019,1.28,1.79,,,,
 Feb-2019,1.2,1.72,,,,
 Mar-2019,1.14,1.65,,,,
 Apr-2019,1.14,1.67,,,,
 May-2019,1.06,1.61,,,,
 Jun-2019,0.84,1.44,,,,
 Jul-2019,0.73,1.36,,,,
 Aug-2019,0.47,1.09,,,,
 Sep-2019,0.5,1.04,,,,
 Oct-2019,0.53,1.1,,,,
 Nov-2019,0.64,1.25,,,,
 Dec-2019,0.69,1.28,,,,
 Jan-2020,0.58,1.16,,,,
 Feb-2020,0.49,1.05,,,,
 Mar-2020,0.4,0.85,,,,
 Apr-2020,0.31,0.69,,,,
 May-2020,0.22,0.6,,,,
 Jun-2020,0.23,0.66,,,,
 Jul-2020,0.15,0.64,,,,
 Aug-2020,0.21,0.76,,,,
 Sep-2020,0.21,0.77,,,,
 Oct-2020,0.24,0.81,,,,
 Nov-2020,0.31,0.89,,,,
 Dec-2020,0.25,0.81,,,,
 Jan-2021,0.28,0.86,,,,
 Feb-2021,0.56,1.14,,,,
 Mar-2021,0.78,1.31,,,,
 Apr-2021,0.77,1.3,,,,
 May-2021,0.82,1.36,,,,
 Jun-2021,0.76,1.28,,,,
 Jul-2021,0.61,1.09,,,,
 Aug-2021,0.57,0.97,,,,
 Sep-2021,0.81,1.13,,,,
 Oct-2021,1.1,1.36,,,,
 Nov-2021,0.93,1.05,,,,
 Dec-2021,0.81,0.95,,,,
 Jan-2022,1.18,1.29,,,,
