PFA Code,Value
E23000036,32
E23000026,28
E23000023,30
E23000006,39
E23000034,0
E23000013,51
E23000002,35
E23000018,34
E23000035,26
E23000039,26
E23000008,37
W15000004,41
E23000028,40
E23000037,36
E23000005,48
W15000002,37
E23000030,38
E23000027,23
E23000012,39
E23000032,44
E23000003,40
E23000021,36
E23000020,30
E23000004,49
E23000001,27
E23000024,34
W15000001,47
E23000009,25
E23000022,36
E23000007,35
E23000019,30
W15000003,30
E23000011,40
E23000015,32
E23000025,29
E23000031,22
E23000033,27
E23000029,27
E23000017,28
E23000016,30
E23000014,55
E23000010,55
E23000038,24
