Category ,Value,Year
Yes,54,2009
No,40,2009
Don't know,6,2009
Yes,44,2010
No,50,2010
Don't know,7,2010
Yes,50,2011
No,40,2011
Don't know,10,2011
Yes,52,2012
No,41,2012
Don't know,7,2012
Yes,54,2013
No,36,2013
Don't know,10,2013
Yes,42,2014
No,49,2014
Don't know,9,2014
Yes,41,2015
No,49,2015
Don't know,9,2015
Yes,38,2016
No,54,2016
Don't know,8,2016
Yes,39,2017
No,52,2017
Don't know,8,2017
Yes,40,2018
No,47,2018
Don't know,13,2018
Yes,42,2019
No,51,2019
Don't know,7,2019
